Candidate,difference,Poll_1,Poll_2,Tweet_count1,Tweet_Count2,Normalized_Count,followers,norm_followers
LincolnChafee,NA,NA,NA,NA,NA,NA,NA,NA
HillaryClinton,0.02,0.5,0.52,NA,481,12.3333333333,5477147,0.2674577023
MartinOMalley,-0.01,0.03,0.02,NA,211,5.4102564103,130666,0.0063806263
BernieSanders,0.04,0.34,0.38,NA,584,14.9743589744,1492949,0.0729030477
JimWebbUSA,NA,NA,NA,NA,39,1,25206,0.0012308486
JebBush,0.02,0.03,0.05,NA,473,12.1282051282,486946,0.023778339
RealBenCarson,-0.04,0.1,0.06,NA,292,7.4871794872,1146137,0.0559676723
GovChristie,-0.01,0.05,0.04,NA,164,4.2051282051,611204,0.0298460526
TedCruz,0.01,0.18,0.19,NA,585,15,841717,0.0411023649
CarlyFiorina,0.01,0.01,0.02,NA,135,3.4615384615,664190,0.0324334423
LindseyGrahamSC,NA,NA,NA,NA,37,0.9487179487,37326,0.0018226873
GovMikeHuckabee,0.01,0.02,0.03,NA,305,7.8205128205,445343,0.0217467991
BobbyJindal,NA,NA,NA,NA,1,0.0256410256,233976,0.0114254161
JohnKasich,-0.01,0.02,0.01,NA,437,11.2051282051,186930,0.0091280859
GovernorPataki,NA,NA,NA,NA,20,0.5128205128,81178,0.0039640494
RandPaul,0.01,0.04,0.03,NA,642,16.4615384615,808837,0.0394967828
MarcoRubio,-0.02,0.1,0.08,NA,465,11.9230769231,1209195,0.0590468936
RickSantorum,NA,NA,NA,NA,99,2.5384615385,257421,0.0125702723
RealDonaldTrump,0.02,0.39,0.41,NA,547,14.0256410256,6342186,0.3096989172
,,12/17/15,01/24/16,,5517,,20478554,
